2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
3264829.0,2851549.0,2611441.0,2167124.0,1723715.0,1908383.0,2013468.0,1476466.0,1392391.0,1720528.0,1949458.0,2423254.0
5898150.0,4981599.0,4566023.0,3653504.0,2958948.0,3387511.0,3632538.0,2440114.0,2462321.0,3067602.0,3235219.0,4297246.0
8079226.0,6639569.0,5948702.0,4541615.0,3836842.0,4475868.0,4894257.0,3070108.0,3365323.0,4158960.0,4075262.0,5778661.0
9520205.0,7782105.0,6758001.0,5049823.0,4431865.0,5112481.0,5526006.0,3321795.0,3951633.0,5014266.0,4533707.0,6812494.0
10239166.0,8444852.0,7185966.0,5391495.0,4792914.0,5367313.0,5690725.0,3405316.0,4241207.0,5609949.0,4851980.0,7460472.0
32648296.0,28515490.0,26114414.0,21671248.0,17237153.0,19083837.0,20134681.0,14764662.0,13923913.0,17205287.0,19493834.0,24234623.0
13423311.0,10516234.0,8388376.0,6782081.0,5789583.0,5961947.0,5811006.0,3563126.0,4752621.0,7151429.0,5799850.0,9346810.0
58981502.0,49815990.0,45660237.0,36535049.0,29589486.0,33875114.0,36325384.0,24401147.0,24623213.0,30676022.0,32352192.0,42972469.0
80792264.0,66395693.0,59487029.0,45416151.0,38368428.0,44758689.0,48942570.0,30701081.0,33653238.0,41589608.0,40752627.0,57786611.0
95202050.0,77821054.0,67580018.0,50498231.0,44318653.0,51124813.0,55260061.0,33217952.0,39516335.0,50142668.0,45337073.0,68124947.0
16558086.0,13416602.0,10264724.0,8188330.0,6472576.0,6295097.0,5820471.0,3582840.0,4894145.0,8316328.0,6247540.0,10449203.0
102391664.0,84448528.0,71859668.0,53914957.0,47929142.0,53673134.0,56907252.0,34053168.0,42412075.0,56099493.0,48519809.0,74604729.0
326482962.0,285154900.0,261144143.0,216712481.0,172371539.0,190838378.0,201346810.0,147646627.0,139239137.0,172052872.0,194945872.0,242346236.0
134233118.0,105162340.0,83883765.0,67820814.0,57895836.0,59619477.0,58110063.0,35631266.0,47526212.0,71514290.0,57998500.0,93468107.0
589815029.0,498159904.0,456602379.0,365350490.0,295894861.0,338751145.0,363253845.0,244011472.0,246232131.0,306760225.0,323521926.0,429724696.0
807922642.0,663956937.0,594870295.0,454161518.0,383684283.0,447586897.0,489425706.0,307010810.0,336532382.0,415896088.0,407526276.0,577866111.0
952020507.0,778210540.0,675800184.0,504982310.0,443186537.0,511248139.0,552600615.0,332179524.0,395163352.0,501426683.0,453370733.0,681249478.0
165580862.0,134166029.0,102647240.0,81883300.0,64725762.0,62950978.0,58204712.0,35828401.0,48941455.0,83163288.0,62475402.0,104492033.0
1023916647.0,844485281.0,718596684.0,539149573.0,479291420.0,536731346.0,569072527.0,340531687.0,424120750.0,560994938.0,485198098.0,746047291.0
